NAME,age.group,pop,pop.pct
"Oxnard city, California",age.0.17,56850,0.27388614815385803
"Oxnard city, California",age.18.64,130496,0.6286903568950898
"Oxnard city, California",age.65.99,20222,0.09742349495105218
"Black Point-Green Point CDP, California",age.0.17,209,0.12628398791540785
"Black Point-Green Point CDP, California",age.18.64,1087,0.656797583081571
"Black Point-Green Point CDP, California",age.65.99,359,0.21691842900302113
"Lucas Valley-Marinwood CDP, California",age.0.17,1617,0.23636895190761584
"Lucas Valley-Marinwood CDP, California",age.18.64,3705,0.5415874872094723
"Lucas Valley-Marinwood CDP, California",age.65.99,1519,0.22204356088291186
"Ross town, California",age.0.17,577,0.2498917280207882
"Ross town, California",age.18.64,1102,0.4772628843655262
"Ross town, California",age.65.99,630,0.2728453876136856
"San Geronimo CDP, California",age.0.17,111,0.23819742489270387
"San Geronimo CDP, California",age.18.64,235,0.5042918454935622
"San Geronimo CDP, California",age.65.99,120,0.2575107296137339
"Tamalpais-Homestead Valley CDP, California",age.0.17,2590,0.22999733593819377
"Tamalpais-Homestead Valley CDP, California",age.18.64,6373,0.5659355297042892
"Tamalpais-Homestead Valley CDP, California",age.65.99,2298,0.20406713435751708
"Woodacre CDP, California",age.0.17,85,0.06523407521105141
"Woodacre CDP, California",age.18.64,628,0.4819646968534152
"Woodacre CDP, California",age.65.99,590,0.4528012279355334
"Grass Valley city, California",age.0.17,2436,0.18836993504484997
"Grass Valley city, California",age.18.64,6944,0.5369625734611816
"Grass Valley city, California",age.65.99,3552,0.27466749149396846
"Penn Valley CDP, California",age.0.17,292,0.2050561797752809
"Penn Valley CDP, California",age.18.64,803,0.5639044943820225
"Penn Valley CDP, California",age.65.99,329,0.23103932584269662
"Greenville CDP, California",age.0.17,131,0.11823104693140794
"Greenville CDP, California",age.18.64,707,0.6380866425992779
"Greenville CDP, California",age.65.99,270,0.24368231046931407
"Lake Almanor Peninsula CDP, California",age.0.17,17,0.040865384615384616
"Lake Almanor Peninsula CDP, California",age.18.64,207,0.49759615384615385
"Lake Almanor Peninsula CDP, California",age.65.99,192,0.46153846153846156
"Taylorsville CDP, California",age.0.17,98,0.4016393442622951
"Taylorsville CDP, California",age.18.64,124,0.5081967213114754
"Taylorsville CDP, California",age.65.99,22,0.09016393442622951
"Tobin CDP, California",age.0.17,0,NaN
"Tobin CDP, California",age.18.64,0,NaN
"Tobin CDP, California",age.65.99,0,NaN
"Planada CDP, California",age.0.17,1309,0.2962879130828429
"Planada CDP, California",age.18.64,2657,0.601403349932096
"Planada CDP, California",age.65.99,452,0.10230873698506111
"Winton CDP, California",age.0.17,4321,0.36740073123033756
"Winton CDP, California",age.18.64,6541,0.5561601904599949
"Winton CDP, California",age.65.99,899,0.07643907830966755
"Broadmoor CDP, California",age.0.17,881,0.16666666666666666
"Broadmoor CDP, California",age.18.64,3706,0.7010972379871359
"Broadmoor CDP, California",age.65.99,699,0.1322360953461975
"Colma town, California",age.0.17,292,0.2013793103448276
"Colma town, California",age.18.64,954,0.6579310344827586
"Colma town, California",age.65.99,204,0.1406896551724138
"Emerald Lake Hills CDP, California",age.0.17,955,0.20787984327383544
